linha,bairro,data,hora,passageiros
408,Centro,2024-01-01,21:30,13
408,Mocambinho,2024-01-09,07:00,42
406,Mocambinho,2024-01-07,09:30,45
405,Marquês,2024-01-17,22:30,40
406,Centro,2024-01-14,18:30,5
401,Mocambinho,2024-01-07,19:00,49
401,Dirceu,2024-01-30,07:00,22
407,Saci,2024-01-20,12:00,73
403,Piçarra,2024-01-04,12:00,78
405,Marquês,2024-01-18,17:30,20
403,Centro,2024-01-09,18:30,45
407,Ilhotas,2024-01-03,19:30,52
403,Ilhotas,2024-01-27,14:00,63
405,Renascença,2024-01-02,19:00,22
404,Renascença,2024-01-02,22:00,37
408,Marquês,2024-01-16,22:00,72
407,Ilhotas,2024-01-08,15:00,52
401,Ilhotas,2024-01-14,19:00,8
406,Piçarra,2024-01-19,11:30,73
403,Mocambinho,2024-01-05,21:00,65
403,Mocambinho,2024-01-15,05:30,39
401,Renascença,2024-01-12,13:00,51
401,Marquês,2024-01-16,17:00,39
406,Dirceu,2024-01-26,22:00,50
407,Saci,2024-01-17,10:30,36
403,Marquês,2024-01-27,22:00,27
408,Marquês,2024-01-23,06:30,73
404,Piçarra,2024-01-17,10:30,31
402,Saci,2024-01-24,17:30,80
401,Renascença,2024-01-08,22:30,6
402,Dirceu,2024-01-24,22:00,40
404,Ilhotas,2024-01-31,05:30,57
408,Ilhotas,2024-01-31,10:30,40
407,Piçarra,2024-01-17,15:00,16
401,Ilhotas,2024-01-20,18:00,78
408,Ilhotas,2024-01-29,09:00,76
404,Mocambinho,2024-01-14,19:30,57
407,Saci,2024-01-09,17:30,17
407,Piçarra,2024-01-02,14:00,31
402,Centro,2024-01-23,07:30,34
405,Centro,2024-01-11,05:00,32
403,Piçarra,2024-01-24,14:30,32
404,Dirceu,2024-01-21,16:30,37
402,Ilhotas,2024-01-31,21:30,67
402,Ilhotas,2024-01-14,21:00,44
406,Piçarra,2024-01-10,22:00,57
404,Piçarra,2024-01-11,21:00,14
406,Mocambinho,2024-01-22,18:30,72
407,Piçarra,2024-01-18,06:30,65
403,Dirceu,2024-01-03,20:00,54
406,Mocambinho,2024-01-06,06:30,63
401,Marquês,2024-01-05,21:00,25
407,Renascença,2024-01-23,10:00,72
402,Piçarra,2024-01-05,08:00,66
404,Renascença,2024-01-04,17:30,23
404,Mocambinho,2024-01-29,16:30,73
401,Ilhotas,2024-01-08,12:00,41
402,Piçarra,2024-01-18,11:00,65
405,Marquês,2024-01-23,18:30,31
407,Ilhotas,2024-01-29,10:00,21
401,Saci,2024-01-10,06:00,39
405,Marquês,2024-01-14,09:30,32
401,Renascença,2024-01-07,12:30,7
402,Ilhotas,2024-01-23,12:30,39
402,Marquês,2024-01-18,11:00,51
401,Renascença,2024-01-26,13:30,57
402,Marquês,2024-01-13,20:30,66
406,Ilhotas,2024-01-08,06:00,71
401,Dirceu,2024-01-09,21:00,74
404,Marquês,2024-01-14,17:00,30
408,Mocambinho,2024-01-30,16:30,32
405,Dirceu,2024-01-08,19:30,27
408,Marquês,2024-01-30,06:30,14
403,Mocambinho,2024-01-01,08:00,25
401,Marquês,2024-01-06,16:30,68
401,Ilhotas,2024-01-29,13:30,33
404,Saci,2024-01-03,11:30,53
403,Saci,2024-01-07,05:00,80
406,Marquês,2024-01-20,21:00,27
404,Dirceu,2024-01-09,16:00,64
406,Marquês,2024-01-01,21:00,16
405,Dirceu,2024-01-12,07:00,61
404,Dirceu,2024-01-09,12:00,5
407,Ilhotas,2024-01-14,10:30,26
401,Renascença,2024-01-01,09:30,63
407,Centro,2024-01-03,18:00,44
407,Saci,2024-01-13,10:30,34
406,Saci,2024-01-22,20:00,79
402,Marquês,2024-01-10,22:30,39
408,Saci,2024-01-17,14:00,54
403,Saci,2024-01-07,13:30,78
407,Piçarra,2024-01-01,14:30,36
406,Marquês,2024-01-08,07:00,62
406,Centro,2024-01-10,05:30,43
401,Marquês,2024-01-11,08:00,13
404,Marquês,2024-01-10,12:00,8
407,Mocambinho,2024-01-09,13:30,36
402,Renascença,2024-01-01,05:00,16
405,Centro,2024-01-02,11:30,43
401,Centro,2024-01-08,11:00,35
401,Renascença,2024-01-04,17:00,21
401,Mocambinho,2024-01-31,10:00,33
403,Piçarra,2024-01-05,07:30,57
403,Marquês,2024-01-27,10:30,34
408,Mocambinho,2024-01-23,20:30,10
407,Dirceu,2024-01-08,11:30,19
408,Saci,2024-01-11,20:30,69
405,Centro,2024-01-12,21:30,55
402,Saci,2024-01-19,09:30,63
406,Centro,2024-01-03,19:30,74
408,Marquês,2024-01-15,19:30,49
407,Marquês,2024-01-11,17:00,34
402,Mocambinho,2024-01-13,06:30,42
403,Mocambinho,2024-01-07,18:30,61
408,Marquês,2024-01-11,09:30,31
406,Renascença,2024-01-24,11:30,48
407,Piçarra,2024-01-23,08:00,6
401,Renascença,2024-01-19,08:30,13
407,Ilhotas,2024-01-15,12:30,60
407,Marquês,2024-01-08,17:00,20
401,Ilhotas,2024-01-17,13:00,75
405,Saci,2024-01-11,16:00,13
401,Renascença,2024-01-18,16:30,37
404,Dirceu,2024-01-16,16:00,38
407,Ilhotas,2024-01-03,19:30,68
402,Marquês,2024-01-22,17:30,64
404,Marquês,2024-01-02,07:30,6
403,Marquês,2024-01-23,14:00,66
407,Ilhotas,2024-01-06,05:30,25
406,Ilhotas,2024-01-14,20:00,46
408,Renascença,2024-01-16,10:00,22
401,Dirceu,2024-01-25,10:00,55
408,Mocambinho,2024-01-02,12:30,22
401,Saci,2024-01-04,14:00,35
407,Renascença,2024-01-14,10:30,36
404,Marquês,2024-01-02,20:00,69
402,Dirceu,2024-01-15,11:30,24
402,Mocambinho,2024-01-10,15:00,58
407,Mocambinho,2024-01-16,13:30,12
402,Piçarra,2024-01-09,12:30,56
408,Ilhotas,2024-01-21,10:00,28
404,Renascença,2024-01-29,18:30,59
403,Piçarra,2024-01-06,15:00,49
405,Ilhotas,2024-01-06,16:30,42
401,Marquês,2024-01-02,08:30,30
404,Centro,2024-01-22,05:00,42
405,Centro,2024-01-09,12:30,45
408,Mocambinho,2024-01-17,21:00,29
405,Marquês,2024-01-06,14:00,24
404,Centro,2024-01-15,19:30,5
404,Ilhotas,2024-01-25,09:30,56
401,Mocambinho,2024-01-18,05:30,29
401,Marquês,2024-01-06,21:30,29
404,Ilhotas,2024-01-26,06:00,24
403,Marquês,2024-01-21,08:00,22
403,Dirceu,2024-01-27,16:00,12
403,Renascença,2024-01-27,16:30,73
405,Marquês,2024-01-21,10:00,67
405,Mocambinho,2024-01-09,21:30,54
402,Marquês,2024-01-22,07:00,31
402,Piçarra,2024-01-12,08:00,17
404,Renascença,2024-01-08,11:30,46
405,Mocambinho,2024-01-08,11:00,80
404,Saci,2024-01-18,11:30,74
403,Ilhotas,2024-01-03,22:00,53
406,Centro,2024-01-29,10:30,61
403,Ilhotas,2024-01-08,16:30,22
403,Dirceu,2024-01-17,10:00,19
401,Mocambinho,2024-01-14,08:30,46
402,Dirceu,2024-01-18,07:00,70
403,Centro,2024-01-14,08:30,29
401,Saci,2024-01-31,20:30,10
405,Centro,2024-01-12,08:00,54
408,Marquês,2024-01-15,11:30,17
407,Renascença,2024-01-19,06:00,76
408,Dirceu,2024-01-03,09:00,28
408,Saci,2024-01-08,18:00,64
405,Centro,2024-01-28,13:00,60
401,Renascença,2024-01-31,13:00,47
403,Dirceu,2024-01-07,08:30,11
404,Ilhotas,2024-01-16,08:30,51
401,Piçarra,2024-01-27,15:30,10
402,Centro,2024-01-25,17:30,32
405,Ilhotas,2024-01-12,11:00,59
407,Mocambinho,2024-01-25,10:00,57
405,Piçarra,2024-01-01,18:00,74
408,Saci,2024-01-28,21:00,34
403,Saci,2024-01-03,13:30,65
407,Saci,2024-01-15,05:00,16
403,Saci,2024-01-17,15:30,58
405,Mocambinho,2024-01-25,18:00,77
403,Saci,2024-01-24,21:30,9
405,Mocambinho,2024-01-18,07:00,80
401,Centro,2024-01-26,14:00,58
404,Ilhotas,2024-01-28,05:00,58
406,Saci,2024-01-16,05:30,35
408,Mocambinho,2024-01-20,13:30,45
403,Mocambinho,2024-01-14,08:30,48
401,Piçarra,2024-01-04,20:00,19
408,Ilhotas,2024-01-17,09:00,33
404,Renascença,2024-01-30,18:00,31
401,Dirceu,2024-01-11,09:00,14
402,Saci,2024-01-19,05:30,34
401,Centro,2024-01-17,13:00,54
401,Marquês,2024-01-26,14:30,27
401,Mocambinho,2024-01-21,21:30,23
404,Marquês,2024-01-19,06:30,76
405,Marquês,2024-01-19,14:00,52
402,Marquês,2024-01-05,17:00,33
408,Renascença,2024-01-26,14:30,59
406,Piçarra,2024-01-26,06:30,75
401,Saci,2024-01-01,14:00,68
403,Centro,2024-01-05,22:00,32
407,Saci,2024-01-27,18:00,45
407,Piçarra,2024-01-13,09:00,69
401,Mocambinho,2024-01-16,14:30,68
403,Saci,2024-01-05,15:30,60
406,Saci,2024-01-19,07:30,37
403,Centro,2024-01-26,16:00,41
406,Dirceu,2024-01-28,19:30,55
405,Ilhotas,2024-01-07,07:30,8
407,Mocambinho,2024-01-20,08:30,27
406,Saci,2024-01-04,15:30,22
405,Ilhotas,2024-01-04,05:00,30
407,Centro,2024-01-09,09:00,42
403,Centro,2024-01-27,18:00,58
407,Mocambinho,2024-01-10,12:30,17
407,Marquês,2024-01-30,15:30,79
401,Marquês,2024-01-22,18:30,20
401,Dirceu,2024-01-02,16:30,16
404,Ilhotas,2024-01-31,09:00,19
407,Dirceu,2024-01-15,18:30,39
406,Piçarra,2024-01-29,14:30,39
406,Dirceu,2024-01-26,13:30,30
401,Dirceu,2024-01-18,08:30,66
404,Centro,2024-01-28,14:30,71
401,Renascença,2024-01-13,06:30,72
405,Marquês,2024-01-29,08:30,5
403,Mocambinho,2024-01-16,08:00,74
401,Piçarra,2024-01-25,13:30,70
404,Piçarra,2024-01-08,15:00,69
406,Marquês,2024-01-30,14:00,35
401,Centro,2024-01-13,14:30,71
406,Renascença,2024-01-16,05:30,29
408,Marquês,2024-01-05,21:00,63
404,Dirceu,2024-01-31,17:30,55
404,Dirceu,2024-01-16,15:30,73
401,Marquês,2024-01-30,17:30,61
406,Dirceu,2024-01-31,20:00,80
408,Marquês,2024-01-15,21:00,13
401,Centro,2024-01-18,07:30,26
401,Renascença,2024-01-09,11:30,19
403,Centro,2024-01-31,14:00,62
407,Dirceu,2024-01-16,10:00,26
404,Ilhotas,2024-01-01,07:30,37
408,Centro,2024-01-13,11:00,56
406,Ilhotas,2024-01-04,11:30,8
404,Dirceu,2024-01-10,05:30,13
406,Dirceu,2024-01-25,09:30,16
